                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7726,                 4.5559,                  1.362,                0.00087,                0.15301,                0.01066,                0.00585,                 1.7621,                 4.9606,                 1.3361,               0.000275,               0.000275,               0.000275
                      2,                 1.7095,                 3.7375,                 1.3233,                0.00172,                 0.2649,                0.05243,                0.02586,                 1.8282,                 4.5984,                 1.4449,             0.00055693,             0.00055693,             0.00055693
                      3,                 1.7335,                 3.4198,                 1.3237,                0.45738,                0.01626,                0.06161,                0.03322,                 1.8789,                 4.4531,                 1.4659,             0.00083317,             0.00083317,             0.00083317
                      4,                 1.6975,                  3.198,                 1.3544,                0.00644,                0.42707,                0.05063,                0.02658,                 1.9644,                 4.3883,                 1.4659,              0.0011037,              0.0011037,              0.0011037
                      5,                 1.7628,                  3.261,                   1.32,                0.07179,                 0.0261,                0.04687,                0.02184,                 2.0192,                 4.2127,                 1.4614,              0.0012005,              0.0012005,              0.0012005
                      6,                  1.735,                 3.1798,                  1.324,                0.16018,                0.19693,                0.09597,                 0.0467,                 2.0692,                 3.8629,                 1.6598,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.7447,                 3.0602,                 1.3644,                0.21705,                 0.2494,                0.11649,                0.05846,                 1.9295,                 3.5644,                 1.5296,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.6245,                 2.8277,                 1.3221,                0.22273,                0.26084,                0.14049,                0.07331,                 1.8505,                 3.4358,                 1.4389,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.6354,                 2.7959,                 1.3089,                0.21158,                0.21122,                0.13077,                0.06898,                 1.7713,                 3.2553,                  1.392,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.5615,                 2.7072,                 1.2974,                0.21983,                 0.2805,                0.15902,                0.07872,                 1.8947,                 3.3835,                 1.5586,               0.001151,               0.001151,               0.001151
