                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1952,                 4.4584,                 1.6525,                0.39626,                0.06986,                0.04605,                0.01756,                 2.1245,                 3.4293,                 1.6015,              0.0033167,              0.0033167,              0.0033167
                      2,                 2.1312,                 3.5465,                 1.6032,                 0.4214,                0.10565,                0.06362,                0.02312,                 2.0975,                 3.0472,                 1.5932,              0.0066335,              0.0066335,              0.0066335
                      3,                 2.1166,                 3.4216,                 1.6234,                0.60963,                  0.079,                0.04434,                0.01688,                 2.2243,                 3.5606,                 1.6656,              0.0099339,              0.0099339,              0.0099339
                      4,                 2.1904,                 3.2952,                 1.6652,                0.53187,                0.09476,                0.06861,                0.02678,                 2.2793,                 3.2298,                  1.803,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.1618,                 3.1333,                 1.6659,                0.24242,                0.15457,                0.08527,                0.03076,                 2.2267,                 2.8189,                 1.6962,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.1336,                  2.962,                 1.6438,                0.43423,                0.11392,                0.07914,                0.03041,                  2.142,                 2.6884,                 1.6464,               0.009901,               0.009901,               0.009901
                      7,                 2.0932,                 2.8378,                 1.6173,                0.55527,                0.11978,                0.10769,                0.04362,                 2.1835,                 2.6785,                 1.6206,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.0824,                 2.7509,                 1.6176,                0.58992,                0.17198,                0.13962,                0.05448,                 2.1034,                 2.5419,                 1.5857,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.0451,                 2.6406,                 1.5806,                0.68338,                0.15366,                0.11622,                0.04139,                 2.1582,                 2.4337,                 1.6693,              0.0098268,              0.0098268,              0.0098268
                     10,                  2.043,                   2.59,                 1.5723,                0.55227,                 0.2054,                0.16045,                0.06504,                 2.0454,                 2.3463,                 1.5703,               0.009802,               0.009802,               0.009802
                     11,                 2.0084,                  2.536,                 1.5569,                0.51392,                0.16329,                0.14812,                0.06816,                 2.0874,                 2.4153,                 1.5917,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.0108,                 2.4782,                 1.5561,                 0.7377,                 0.1564,                0.14471,                0.05574,                 2.0798,                 2.4636,                 1.5881,              0.0097525,              0.0097525,              0.0097525
                     13,                   1.97,                 2.4325,                 1.5324,                0.51119,                0.15837,                0.16744,                0.07761,                 2.0219,                 2.2823,                  1.577,              0.0097278,              0.0097278,              0.0097278
                     14,                 1.9758,                 2.4008,                 1.5385,                0.58017,                0.17582,                0.18223,                0.07883,                 2.0866,                 2.2319,                 1.5898,               0.009703,               0.009703,               0.009703
                     15,                   1.95,                 2.3601,                 1.5185,                0.55077,                0.17946,                0.17431,                0.07781,                  2.019,                  2.167,                 1.5201,              0.0096783,              0.0096783,              0.0096783
                     16,                 1.9624,                 2.3184,                 1.5262,                 0.5319,                0.18562,                0.17687,                0.07438,                 2.0485,                 2.2726,                 1.5697,              0.0096535,              0.0096535,              0.0096535
                     17,                 1.9268,                 2.2465,                 1.4937,                0.57781,                0.23844,                0.19844,                0.08846,                 2.0417,                 2.2145,                 1.5676,              0.0096288,              0.0096288,              0.0096288
                     18,                 1.9195,                 2.2585,                 1.4962,                0.60447,                0.17982,                0.18014,                0.08202,                 2.0504,                 2.1633,                 1.5789,               0.009604,               0.009604,               0.009604
                     19,                 1.9154,                 2.2088,                 1.4922,                0.51254,                0.18797,                 0.1851,                0.08642,                 2.0873,                 2.2009,                 1.5549,              0.0095793,              0.0095793,              0.0095793
                     20,                 1.9033,                 2.1315,                  1.469,                0.44493,                0.19146,                0.17759,                0.08105,                 1.9946,                 2.1723,                 1.5111,              0.0095545,              0.0095545,              0.0095545
                     21,                 1.8885,                 2.1435,                 1.4742,                0.31067,                0.23342,                0.18598,                0.08414,                  1.999,                 2.1788,                 1.5165,              0.0095298,              0.0095298,              0.0095298
                     22,                 1.8818,                 2.1322,                 1.4733,                0.39793,                0.25006,                0.20864,                0.09894,                 1.9886,                 2.0781,                 1.5108,               0.009505,               0.009505,               0.009505
                     23,                 1.8665,                 2.0725,                 1.4635,                 0.4569,                 0.1792,                0.18853,                0.08475,                  2.029,                 2.1244,                 1.5728,              0.0094803,              0.0094803,              0.0094803
                     24,                 1.8664,                  2.052,                 1.4604,                 0.4276,                0.23717,                0.21093,                0.09346,                 2.0097,                 1.9798,                 1.5363,              0.0094555,              0.0094555,              0.0094555
                     25,                 1.8491,                 2.0002,                 1.4438,                0.34869,                0.21266,                0.20063,                0.09058,                 2.0625,                 2.1052,                 1.5522,              0.0094307,              0.0094307,              0.0094307
                     26,                  1.839,                 1.9705,                 1.4364,                  0.452,                0.23825,                0.20678,                0.09622,                 2.0427,                 2.0463,                  1.523,               0.009406,               0.009406,               0.009406
                     27,                 1.8454,                  1.966,                 1.4474,                0.49994,                0.24741,                 0.2241,                0.10145,                 1.9846,                 2.0517,                 1.5021,              0.0093813,              0.0093813,              0.0093813
                     28,                 1.8286,                  1.928,                 1.4324,                0.56883,                0.23131,                0.25266,                0.12243,                 1.9863,                 1.9524,                 1.5013,              0.0093565,              0.0093565,              0.0093565
                     29,                 1.8247,                 1.9157,                 1.4235,                0.50139,                0.25818,                0.21955,                0.09436,                 2.0444,                 1.9801,                 1.5697,              0.0093317,              0.0093317,              0.0093317
                     30,                 1.8056,                 1.8923,                  1.417,                0.52914,                0.21487,                0.23407,                0.10887,                   2.01,                   1.99,                 1.5063,               0.009307,               0.009307,               0.009307
                     31,                 1.8045,                 1.8731,                 1.4109,                0.48803,                0.24154,                0.21932,                0.10299,                 2.0121,                 2.1089,                 1.5261,              0.0092823,              0.0092823,              0.0092823
                     32,                 1.8002,                  1.841,                  1.414,                0.52398,                 0.2385,                0.23372,                 0.1055,                 2.0029,                 1.9537,                 1.5168,              0.0092575,              0.0092575,              0.0092575
                     33,                 1.7961,                 1.8425,                  1.419,                 0.3524,                0.29924,                0.22969,                0.11153,                 1.9792,                 1.9443,                 1.4945,              0.0092327,              0.0092327,              0.0092327
                     34,                  1.789,                 1.8312,                 1.4152,                0.57339,                0.28371,                0.26975,                0.12863,                 2.0023,                 1.9786,                  1.527,               0.009208,               0.009208,               0.009208
                     35,                 1.7842,                 1.7819,                 1.4001,                0.39323,                0.25668,                0.23489,                0.10915,                 2.0234,                 1.9442,                 1.5158,              0.0091833,              0.0091833,              0.0091833
                     36,                 1.7684,                 1.7364,                 1.3883,                0.48133,                0.27956,                 0.2476,                0.11466,                 2.0208,                 1.9141,                 1.5338,              0.0091585,              0.0091585,              0.0091585
                     37,                 1.7732,                 1.7725,                 1.3936,                0.38312,                0.27684,                0.24461,                0.11339,                 2.0059,                 1.9644,                 1.5077,              0.0091337,              0.0091337,              0.0091337
                     38,                 1.7601,                 1.7357,                 1.3794,                0.57688,                0.25262,                0.24758,                0.10736,                 2.0126,                 1.9854,                 1.5058,               0.009109,               0.009109,               0.009109
                     39,                 1.7722,                 1.7446,                 1.3877,                0.39688,                0.27741,                0.23557,                 0.1074,                  2.021,                 2.0093,                   1.53,              0.0090843,              0.0090843,              0.0090843
                     40,                 1.7565,                  1.691,                  1.381,                0.41325,                0.26341,                0.24019,                0.10783,                 2.0291,                 2.0449,                 1.5268,              0.0090595,              0.0090595,              0.0090595
                     41,                 1.7432,                 1.6912,                 1.3844,                0.52874,                  0.288,                0.25308,                0.11617,                 1.9941,                 2.0293,                 1.5158,              0.0090347,              0.0090347,              0.0090347
                     42,                 1.7302,                 1.6587,                 1.3775,                0.51103,                0.25683,                0.24155,                0.11151,                  2.022,                 1.9427,                 1.5441,                0.00901,                0.00901,                0.00901
                     43,                 1.7271,                 1.6475,                  1.383,                0.52571,                0.27215,                 0.2556,                0.12356,                 1.9985,                 1.9489,                  1.532,              0.0089853,              0.0089853,              0.0089853
                     44,                 1.7205,                 1.6268,                 1.3669,                 0.5551,                 0.2555,                0.25628,                0.12177,                 2.0265,                  1.857,                 1.5289,              0.0089605,              0.0089605,              0.0089605
                     45,                 1.7201,                 1.6005,                 1.3608,                0.54115,                0.27495,                0.25696,                 0.1268,                 1.9938,                 1.9176,                 1.5067,              0.0089358,              0.0089358,              0.0089358
                     46,                 1.7041,                 1.5986,                 1.3512,                0.53241,                0.30651,                0.27051,                 0.1304,                 2.0193,                 1.8128,                  1.513,               0.008911,               0.008911,               0.008911
                     47,                 1.6977,                 1.5571,                 1.3542,                0.53025,                0.28512,                0.27013,                0.12337,                 2.0229,                 1.8008,                 1.4936,              0.0088863,              0.0088863,              0.0088863
                     48,                 1.7156,                 1.5767,                 1.3469,                0.53466,                0.25325,                0.24257,                0.11262,                 2.0201,                 1.8805,                 1.5106,              0.0088615,              0.0088615,              0.0088615
